Country,Continent/Region,Math Score,Math Instruction in Hours per Year,Points per Hour,,
Armenia,Eastern Europe,452,139,3.25,,
Australia,Australia,516,230,2.24,,
Austria,Western Europe,508,146,3.48,,
Azerbaijan,Asia,463,130,3.56,,
Bahrain,Eastern Europe,436,131,3.33,,
Belgium (Flemish)-BEL,Western Europe,549,224,2.45,,
Chile,South America,462,231,2.00,,
Chinese Taipei-CHN,Asia,591,133,4.45,,
Croatia,Eastern Europe,490,134,3.66,,
Czech Republic,Eastern Europe,511,163,3.13,,
Denmark,Western Europe,537,124,4.33,,
England-GBR,Western Europe,542,188,2.88,,
Finland,Western Europe,545,139,3.92,,
Georgia,Europe,450,148,3.04,,
Germany,Western Europe,528,163,3.24,,
Hong Kong-CHN,Asia,602,158,3.81,,
Hungary,Europe,515,148,3.48,,
"Iran, Islamic Republic of",Middle East,431,146,2.95,,
Ireland,Western Europe,527,150,3.52,,
Italy,Western Europe,508,214,2.37,,
Japan,Asia,585,150,3.90,,
Kazakhstan,Asia,501,140,3.58,,
"Korea, Republic of",Asia,605,121,5.00,,
Kuwait,Middle East,342,120,2.85,,
Lithuania,Eastern Europe,534,133,4.01,,
Malta,Western Europe,496,183,2.71,,
Morocco,Africa,335,174,1.92,,
Netherlands,Western Europe,540,195,2.77,,
New Zealand,Australia,486,168,2.89,,
Northern Ireland-GBR,Western Europe,562,232,2.42,,
Norway,Western Europe,495,157,3.15,,
Oman,Middle East,385,170,2.26,,
Poland,Western Europe,481,157,3.06,,
Portugal,Western Europe,532,250,2.13,,
Qatar,Middle East,413,185,2.23,,
Romania,Eastern Europe,482,148,3.26,,
Russian Federation,Eastern Europe,542,104,5.21,,
Saudi Arabia,Middle East,410,147,2.79,,
Serbia,Eastern Europe,516,153,3.37,,
Singapore,Asia,606,208,2.91,,
Slovak Republic,Eastern Europe,507,147,3.45,,
Slovenia,Eastern Europe,513,169,3.04,,
Spain,Western Europe,482,167,2.89,,
Sweden,Western Europe,504,138,3.65,,
Thailand,Asia,458,167,2.74,,
Tunisia,Asia,359,175,2.05,,
Turkey,Middle East,469,126,3.72,,
United Arab Emirates,Middle East,434,154,2.82,,
United States,North America,541,206,2.62,,
Yemen,Asia,248,135,1.83,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
