Country,Continent/Region,Math Instruction in Hours per Year,Points per Hour,Color,
Yemen,Asia,135,1.83,blue, 
Morocco,Africa,174,1.92,red,
Chile,South America,231,2,yellow,
Tunisia,Asia,175,2.05,blue,
Portugal,Western Europe,250,2.13,brown,
Qatar,Middle East,185,2.23,black,
Australia,Australia,230,2.24,green,
Oman,Middle East,170,2.26,black,
Italy,Western Europe,214,2.37,brown,
Northern Ireland-GBR,Western Europe,232,2.42,brown,
Belgium (Flemish)-BEL,Western Europe,224,2.45,brown,
United States,North America,206,2.62,turquoise,
Malta,Western Europe,183,2.71,brown,
Thailand,Asia,167,2.74,blue,
Netherlands,Western Europe,195,2.77,brown,
Saudi Arabia,Middle East,147,2.79,black,
United Arab Emirates,Middle East,154,2.82,black,
Kuwait,Middle East,120,2.85,black,
England-GBR,Western Europe,188,2.88,brown,
New Zealand,Australia,168,2.89,green,
Spain,Western Europe,167,2.89,brown,
Singapore,Asia,208,2.91,blue,
"Iran, Islamic Republic of",Middle East,146,2.95,black,
Georgia,Europe,148,3.04,orange,
Slovenia,Eastern Europe,169,3.04,purple,
Poland,Western Europe,157,3.06,brown,
Czech Republic,Eastern Europe,163,3.13,purple,
Norway,Western Europe,157,3.15,brown,
Germany,Western Europe,163,3.24,brown,
Armenia,Eastern Europe,139,3.25,purple,
Romania,Eastern Europe,148,3.26,purple,
Bahrain,Eastern Europe,131,3.33,purple,
Serbia,Eastern Europe,153,3.37,purple,
Slovak Republic,Eastern Europe,147,3.45,purple,
Austria,Western Europe,146,3.48,brown,
Hungary,Europe,148,3.48,orange,
Ireland,Western Europe,150,3.52,brown,
Azerbaijan,Asia,130,3.56,blue,
Kazakhstan,Asia,140,3.58,blue,
Sweden,Western Europe,138,3.65,brown,
Croatia,Eastern Europe,134,3.66,purple,
Turkey,Middle East,126,3.72,black,
Hong Kong-CHN,Asia,158,3.81,blue,
Japan,Asia,150,3.9,blue,
Finland,Western Europe,139,3.92,brown,
Lithuania,Eastern Europe,133,4.01,purple,
Denmark,Western Europe,124,4.33,brown,
Chinese Taipei-CHN,Asia,133,4.45,blue,
"Korea, Republic of",Asia,121,5,blue,
Russian Federation,Eastern Europe,104,5.21,purple,
